Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YOL145C	YGL207W
Protein-Protein Interaction	YOL145C	YLR418C
Protein-Protein Interaction	YOL148C	YDR448W
Protein-Protein Interaction	YOR007C	YBR137W
Protein-Protein Interaction	YOR007C	YOL111C
Protein-Protein Interaction	YOR038C	YBL008W
Protein-Protein Interaction	YOR043W	YLL010C
Protein-Protein Interaction	YOR057W	YDL132W
Protein-Protein Interaction	YOR039W	YIL035C
Protein-Protein Interaction	YOR069W	YJL053W
Protein-Protein Interaction	YOR080W	YBL023C
Protein-Protein Interaction	YOR098C	YGL016W
Protein-Protein Interaction	YOR106W	YLR148W
Protein-Protein Interaction	YOR122C	YNL271C
Protein-Protein Interaction	YOR132W	YJL053W
Protein-Protein Interaction	YOR157C	YBL041W
Protein-Protein Interaction	YOR157C	YJL001W
Protein-Protein Interaction	YOR153W	YDR011W
Protein-Protein Interaction	YOR178C	YER133W
Protein-Protein Interaction	YOR181W	YBL007C
Protein-Protein Interaction	YOR181W	YDR388W
Protein-Protein Interaction	YOR181W	YFL039C
Protein-Protein Interaction	YOR181W	YLR337C
Protein-Protein Interaction	YOR194C	YGL016W
Protein-Protein Interaction	YOR204W	YDL160C
Protein-Protein Interaction	YOR232W	YIL022W
Protein-Protein Interaction	YOR232W	YJR045C
Protein-Protein Interaction	YOR244W	YFL024C
Protein-Protein Interaction	YOR244W	YHR099W
Protein-Protein Interaction	YOR249C	YBL084C
Protein-Protein Interaction	YOR244W	YJL081C
Protein-Protein Interaction	YOR254C	YLR378C
Protein-Protein Interaction	YOR269W	YLR254C
Protein-Protein Interaction	YOR270C	YEL051W
Protein-Protein Interaction	YOR290C	YOR038C
Protein-Protein Interaction	YOR297C	YJL054W
Protein-Protein Interaction	YOR310C	YDR299W
Protein-Protein Interaction	YOR316C	YJL178C
Protein-Protein Interaction	YOR324C	YLR433C
Protein-Protein Interaction	YOR326W	YFL005W
Protein-Protein Interaction	YOR327C	YGR009C
Protein-Protein Interaction	YOR341W	YOR224C
Protein-Protein Interaction	YOR361C	YBR079C
Protein-Protein Interaction	YOR362C	YGL011C
Protein-Protein Interaction	YOR370C	YFL038C
Protein-Protein Interaction	YPL002C	YJR102C
Protein-Protein Interaction	YPL008W	YFR027W
Protein-Protein Interaction	YPL018W	YBR107C
Protein-Protein Interaction	YPL018W	YGR179C
Protein-Protein Interaction	YPL022W	YML095C
Protein-Protein Interaction	YPL024W	YLR234W
Protein-Protein Interaction	YPL037C	YHR193C
Protein-Protein Interaction	YPL042C	YER022W
Protein-Protein Interaction	YPL031C	YOL001W
Protein-Protein Interaction	YPL049C	YBL016W
Protein-Protein Interaction	YPL049C	YDR480W
Protein-Protein Interaction	YPL050C	YEL036C
Protein-Protein Interaction	YPL050C	YML115C
Protein-Protein Interaction	YPL065W	YGR206W
Protein-Protein Interaction	YPL066W	YLR425W
Protein-Protein Interaction	YPL078C	YJR121W
Protein-Protein Interaction	YPL086C	YHR187W
Protein-Protein Interaction	YPL120W	YBR128C
Protein-Protein Interaction	YPL124W	YKL042W
Protein-Protein Interaction	YPL125W	YHR088W
Protein-Protein Interaction	YPL129W	YGR186W
Protein-Protein Interaction	YPL127C	YBR010W
Protein-Protein Interaction	YPL139C	YOL004W
Protein-Protein Interaction	YPL151C	YLR117C
Protein-Protein Interaction	YPL149W	YBR217W
Protein-Protein Interaction	YPL169C	YDR138W
Protein-Protein Interaction	YPL174C	YEL003W
Protein-Protein Interaction	YPL181W	YOL004W
Protein-Protein Interaction	YPL186C	YBL039W-B
Protein-Protein Interaction	YPL194W	YLR288C
Protein-Protein Interaction	YPL195W	YJL024C
Protein-Protein Interaction	YPL204W	YER106W
Protein-Protein Interaction	YPL209C	YBR156C
Protein-Protein Interaction	YPL208W	YDR361C
Protein-Protein Interaction	YPL210C	YDL092W
Protein-Protein Interaction	YPL248C	YHR099W
Protein-Protein Interaction	YPL217C	YBL004W
Protein-Protein Interaction	YPL217C	YMR047C
Protein-Protein Interaction	YPL219W	YPL031C
Protein-Protein Interaction	YPL235W	YDR190C
Protein-Protein Interaction	YPL231W	YKL182W
Protein-Protein Interaction	YPL240C	YIR042C
Protein-Protein Interaction	YPL240C	YLR310C
Protein-Protein Interaction	YPL249C-A	YDR388W
Protein-Protein Interaction	YPL254W	YDR392W
Protein-Protein Interaction	YPL254W	YGR252W
Protein-Protein Interaction	YPL256C	YDR328C
Protein-Protein Interaction	YPL267W	YER177W
Protein-Protein Interaction	YPL269W	YOR326W
Protein-Protein Interaction	YPR010C	YBR154C
Protein-Protein Interaction	YPR016C	YGL099W
Protein-Protein Interaction	YPR016C	YMR049C
Protein-Protein Interaction	YPL259C	YKL135C
Protein-Protein Interaction	YPR019W	YGL201C
Protein-Protein Interaction	YPR034W	YIL126W
Protein-Protein Interaction	YPR040W	YDL134C
Protein-Protein Interaction	YPR056W	YBR089C-A
Protein-Protein Interaction	YPR055W	YLR166C
Protein-Protein Interaction	YPR105C	YNL051W
Protein-Protein Interaction	YPR110C	YDR510W
Protein-Protein Interaction	YPR110C	YNL113W
Protein-Protein Interaction	YPR113W	YML012W
Protein-Protein Interaction	YPR119W	YBR160W
Protein-Protein Interaction	YPR119W	YJL041W
Protein-Protein Interaction	YPR119W	YKL068W
Protein-Protein Interaction	YPR135W	YNL102W
Protein-Protein Interaction	YPR141C	YBR160W
Protein-Protein Interaction	YPR141C	YPL253C
Protein-Protein Interaction	YPR165W	YLR342W
Protein-Protein Interaction	YPR171W	YBL007C
Protein-Protein Interaction	YPR171W	YCR088W
Protein-Protein Interaction	YPR173C	YER128W
Protein-Protein Interaction	YPR181C	YNL049C
Protein-Protein Interaction	YPR175W	YDR121W
Protein-Protein Interaction	YLR248W	YLR113W
Protein-Protein Interaction	YLR267W	YDL132W
Protein-Protein Interaction	YLR288C	YHR119W
Protein-Protein Interaction	YLR292C	YBR171W
Protein-Protein Interaction	YLR293C	YGL097W
Protein-Protein Interaction	YLR293C	YGL238W
Protein-Protein Interaction	YLR293C	YJR074W
Protein-Protein Interaction	YLR314C	YDR409W
Protein-Protein Interaction	YLR335W	YGL016W
Protein-Protein Interaction	YLR340W	YGL238W
Protein-Protein Interaction	YLR350W	YLL031C
Protein-Protein Interaction	YLR385C	YBR231C
Protein-Protein Interaction	YLR396C	YDR229W
Protein-Protein Interaction	YLR421C	YER012W
Protein-Protein Interaction	YLR431C	YDL149W
Protein-Protein Interaction	YLR450W	YLR207W
Protein-Protein Interaction	YML008C	YGL012W
Protein-Protein Interaction	YML013W	YDL126C
Protein-Protein Interaction	YML042W	YDR244W
Protein-Protein Interaction	YHR056C	YDR303C
Protein-Protein Interaction	YHR052W	YGR103W
Protein-Protein Interaction	YHR084W	YBL016W
Protein-Protein Interaction	YHR099W	YDR167W
Protein-Protein Interaction	YHR099W	YDR392W
Protein-Protein Interaction	YHR188C	YDR434W
Protein-Protein Interaction	YHR193C	YDR510W
Protein-Protein Interaction	YIL031W	YHR052W
Protein-Protein Interaction	YIL033C	YER133W
Protein-Protein Interaction	YIL043C	YHL007C
Protein-Protein Interaction	YIL075C	YEL037C
Protein-Protein Interaction	YIL075C	YER012W
Protein-Protein Interaction	YIL108W	YGR136W
Protein-Protein Interaction	YIL106W	YGR092W
Protein-Protein Interaction	YIL153W	YDL047W
Protein-Protein Interaction	YBR010W	YBR009C
Protein-Protein Interaction	YIR006C	YGL094C
Protein-Protein Interaction	YIR026C	YBR267W
Protein-Protein Interaction	YJL019W	YFR027W
Protein-Protein Interaction	YJL030W	YGL116W
Protein-Protein Interaction	YML064C	YAR019C
Protein-Protein Interaction	YML065W	YHR118C
Protein-Protein Interaction	YML065W	YJL194W
Protein-Protein Interaction	YML071C	YGL223C
Protein-Protein Interaction	YML085C	YLR045C
Protein-Protein Interaction	YML092C	YGL011C
Protein-Protein Interaction	YML103C	YFR002W
Protein-Protein Interaction	YML119W	YLL032C
Protein-Protein Interaction	YML121W	YKR007W
Protein-Protein Interaction	YML127W	YFR037C
Protein-Protein Interaction	YMR005W	YBR198C
Protein-Protein Interaction	YMR026C	YLR191W
Protein-Protein Interaction	YMR047C	YER107C
Protein-Protein Interaction	YMR055C	YHR061C
Protein-Protein Interaction	YMR055C	YJR053W
Protein-Protein Interaction	YMR061W	YER165W
Protein-Protein Interaction	YMR089C	YER017C
Protein-Protein Interaction	YMR092C	YFL039C
Protein-Protein Interaction	YMR096W	YMR095C
Protein-Protein Interaction	YMR105C	YML058W-A
Protein-Protein Interaction	YMR109W	YLR337C
Protein-Protein Interaction	YMR117C	YCL032W
Protein-Protein Interaction	YMR167W	YCR092C
Protein-Protein Interaction	YMR172W	YLR113W
Protein-Protein Interaction	YJL069C	YCR057C
Protein-Protein Interaction	YJL074C	YDL003W
Protein-Protein Interaction	YJL081C	YFL039C
Protein-Protein Interaction	YJL081C	YBR009C
Protein-Protein Interaction	YJL085W	YDR166C
Protein-Protein Interaction	YJL085W	YER008C
Protein-Protein Interaction	YJL124C	YGL173C
Protein-Protein Interaction	YJL128C	YDL006W
Protein-Protein Interaction	YJL141C	YER177W
Protein-Protein Interaction	YJL164C	YIL033C
Protein-Protein Interaction	YJL166W	Q0105
Protein-Protein Interaction	YJL194W	YJL020C
Protein-Protein Interaction	YJR049C	YEL041W
Protein-Protein Interaction	YJR065C	YDL029W
Protein-Protein Interaction	YKL025C	YER165W
Protein-Protein Interaction	YKL025C	YDL101C
Protein-Protein Interaction	YKL042W	YDR356W
Protein-Protein Interaction	YKL052C	YBR233W-A
Protein-Protein Interaction	YKL052C	YFR028C
Protein-Protein Interaction	YKL068W	YDR395W
Protein-Protein Interaction	YKL129C	YJL020C
Protein-Protein Interaction	YBL045C	Q0105
Protein-Protein Interaction	YBR123C	YAL001C
Protein-Protein Interaction	YBR160W	YAL040C
Protein-Protein Interaction	YBR177C	YBR041W
Protein-Protein Interaction	YMR190C	YLR234W
Protein-Protein Interaction	YMR197C	YKL196C
Protein-Protein Interaction	YMR218C	YBR254C
Protein-Protein Interaction	YMR229C	YLL011W
Protein-Protein Interaction	YMR236W	YGR252W
Protein-Protein Interaction	YMR255W	YDL207W
Protein-Protein Interaction	YMR294W	YHR129C
